Gene_1	Point_1	Gene_2	Point_2	link_col	link_height
CER	0.5	SMN	0.5	fb8072	0.5
VN	0.5	CER	0.5	fb8072	0.5
VN	3.5	CCN	1.5	fb8072	0.5
VN	4.5	SMN	2.5	fb8072	0.5
SMN	0.5	AN	0.5	fb8072	0.5
SMN	1.5	CCN	4.5	fb8072	0.5
SMN	2.5	CCN	5.5	fb8072	0.5
AN	0.5	VN	4.5	fb8072	0.5
DMN	0.5	VN	3.5	fb8072	0.5
DMN	1.5	VN	0.5	fb8072	0.5
CCN	0.5	CCN	1.5	80b1d3	0.7
CCN	1.5	CCN	2.5	80b1d3	0.7
CCN	2.5	CCN	3.5	80b1d3	0.7
CCN	3.5	CCN	4.5	80b1d3	0.7
CCN	4.5	CCN	5.5	80b1d3	0.7
CCN	5.5	CCN	6.5	80b1d3	0.7
CCN	6.5	CCN	7.5	80b1d3	0.7
CCN	7.5	CCN	8.5	80b1d3	0.7
CCN	8.5	SMN	1.5	fb8072	0.5
CCN	4.5	DMN	0.5	fb8072	0.5
CCN	7.5	DMN	1.5	fb8072	0.5
CCN	8.5	SMN	1.5	fb8072	0.5
