gene	top_index	TSI
ARMC2-AS1	0.01	0.451464427253322
DANCR	0.01	0.397966162183787
GAS5	0.01	0.479993590982786
HEIH	0.01	0.644605884407092
LINC00623	0.01	0.729967456923067
MALAT1	0.01	0.522419673929254
MIR155HG	0.01	0.501448965820879
MIR22HG	0.01	0.448370049505019
NEAT1	0.01	0.658483024996456
OIP5-AS1	0.01	0.527362724655805
SLX1B-SULT1A4	0.01	0.684678176156642
SNHG1	0.01	0.516934936056341
SNHG16	0.01	0.596442326336235
SNHG5	0.01	0.46472018450077
SNHG6	0.01	0.464122898293833
SNHG8	0.01	0.504566713418834
THAP9-AS1	0.01	0.617787078645535
WAC-AS1	0.01	0.461168340814191
ZFAS1	0.01	0.592021219163225
ARMC2-AS1	0.02	0.451464427253322
ASH1L-AS1	0.02	0.631664856786214
DANCR	0.02	0.397966162183787
EPB41L4A-AS1	0.02	0.491326051872967
GAS5	0.02	0.479993590982786
HCP5	0.02	0.417968099449112
HEIH	0.02	0.644605884407092
ITGB2-AS1	0.02	0.39752705485464
LINC00324	0.02	0.576422604518711
LINC00621	0.02	0.351053945721341
LINC00623	0.02	0.729967456923067
LINC01002	0.02	0.602138873885022
LINC01215	0.02	0.450848706630112
MALAT1	0.02	0.522419673929254
MIR155HG	0.02	0.501448965820879
MIR22HG	0.02	0.448370049505019
NEAT1	0.02	0.658483024996456
OIP5-AS1	0.02	0.527362724655805
PRR34-AS1	0.02	0.562497459758596
SLX1A-SULT1A3	0.02	0.631100869353794
SLX1B-SULT1A4	0.02	0.684678176156642
SNHG1	0.02	0.516934936056341
SNHG12	0.02	0.478521326447044
SNHG15	0.02	0.499769102669798
SNHG16	0.02	0.596442326336235
SNHG17	0.02	0.64630625730831
SNHG5	0.02	0.46472018450077
SNHG6	0.02	0.464122898293833
SNHG8	0.02	0.504566713418834
STAG3L5P-PVRIG2P-PILRB	0.02	0.365347545649602
THAP9-AS1	0.02	0.617787078645535
THRIL	0.02	0.375978994190609
TRG-AS1	0.02	0.630503649814938
WAC-AS1	0.02	0.461168340814191
XIST	0.02	0.855420846547151
ZFAS1	0.02	0.592021219163225
ARMC2-AS1	0.03	0.451464427253322
ASH1L-AS1	0.03	0.631664856786214
COLCA1	0.03	0.518729582902673
DANCR	0.03	0.397966162183787
EPB41L4A-AS1	0.03	0.491326051872967
FGD5-AS1	0.03	0.721688476626252
GAS5	0.03	0.479993590982786
HCP5	0.03	0.417968099449112
HEIH	0.03	0.644605884407092
ITGB2-AS1	0.03	0.39752705485464
LINC-PINT	0.03	0.596165442440136
LINC00294	0.03	0.557698472407567
LINC00324	0.03	0.576422604518711
LINC00520	0.03	0.751620763284764
LINC00621	0.03	0.351053945721341
LINC00623	0.03	0.729967456923067
LINC01002	0.03	0.602138873885022
LINC01215	0.03	0.450848706630112
MALAT1	0.03	0.522419673929254
MAPKAPK5-AS1	0.03	0.5459200944179
MIAT	0.03	0.574999380551673
MIR155HG	0.03	0.501448965820879
MIR22HG	0.03	0.448370049505019
NEAT1	0.03	0.658483024996456
NPTN-IT1	0.03	0.519923694268821
OIP5-AS1	0.03	0.527362724655805
PCED1B-AS1	0.03	0.611691115668016
PRR34-AS1	0.03	0.562497459758596
PSMB8-AS1	0.03	0.432049812342876
PSMD6-AS2	0.03	0.682688150631406
SCAMP1-AS1	0.03	0.577807850251453
SLX1A-SULT1A3	0.03	0.631100869353794
SLX1B-SULT1A4	0.03	0.684678176156642
SND1-IT1	0.03	0.640843735363418
SNHG1	0.03	0.516934936056341
SNHG12	0.03	0.478521326447044
SNHG15	0.03	0.499769102669798
SNHG16	0.03	0.596442326336235
SNHG17	0.03	0.64630625730831
SNHG19	0.03	0.391653931463539
SNHG5	0.03	0.46472018450077
SNHG6	0.03	0.464122898293833
SNHG8	0.03	0.504566713418834
STAG3L5P-PVRIG2P-PILRB	0.03	0.365347545649602
THAP9-AS1	0.03	0.617787078645535
THRIL	0.03	0.375978994190609
TRG-AS1	0.03	0.630503649814938
WAC-AS1	0.03	0.461168340814191
XIST	0.03	0.855420846547151
ZBED5-AS1	0.03	0.519846331468885
ZFAS1	0.03	0.592021219163225
ARMC2-AS1	0.04	0.451464427253322
ASH1L-AS1	0.04	0.631664856786214
COLCA1	0.04	0.518729582902673
DANCR	0.04	0.397966162183787
EPB41L4A-AS1	0.04	0.491326051872967
FGD5-AS1	0.04	0.721688476626252
FTX	0.04	0.673717390499668
GAS5	0.04	0.479993590982786
HCP5	0.04	0.417968099449112
HEIH	0.04	0.644605884407092
ITGB2-AS1	0.04	0.39752705485464
LAMA5-AS1	0.04	0.400537702324209
LINC-PINT	0.04	0.596165442440136
LINC00294	0.04	0.557698472407567
LINC00324	0.04	0.576422604518711
LINC00339	0.04	0.619149583695336
LINC00520	0.04	0.751620763284764
