"","FeatureName","FeatureID","AvgRank"
"1","cg10844118",2534,40
"2","cg12841296",2975,45.4
"3","cg17379209",3931,73
"4","cg20796999",4573,75.4
"5","cg17525102",3965,81.6
"6","cg22773142",4929,84.6
"7","cg13173260",3044,85.4
"8","cg19346202",4300,90.6
"9","cg03104758",818,97.8
"10","cg02668822",684,99.2
"11","cg24241129",5225,100.8
"12","cg22188945",4822,113.2
"13","cg17039262",3859,115.8
"14","cg16577707",3760,120.4
"15","cg25926767",5550,123.2
"16","cg20659025",4545,123.8
"17","cg21735093",4730,131.4
"18","cg14308304",3308,135.4
"19","cg09672570",2282,141
"20","cg21585306",4716,143.8
"21","cg20781981",4569,147
"22","cg23965551",5160,148
"23","cg18035897",4068,150
"24","cg03701001",957,156.2
"25","cg21685663",4725,156.4
"26","cg09229797",2193,157.4
"27","cg13476058",3101,160.4
"28","cg21169285",4641,164.4
"29","cg22697517",4921,164.4
"30","cg08170375",1958,169
"31","cg03900808",1015,174
"32","cg22977876",4963,174.4
"33","cg14141328",3267,184.4
"34","cg04620506",1175,185
"35","cg16164079",3666,187
"36","cg15013768",3447,189.8
"37","cg01142668",291,193.8
"38","cg07964958",1916,194.2
"39","cg08320628",2000,200
"40","cg13977290",3228,202
"41","cg26152597",5593,204.6
"42","cg27323154",5838,205.6
"43","cg07133930",1726,206.6
"44","cg12406822",2874,207.4
"45","cg01131147",284,208
"46","cg05965417",1497,213.4
"47","cg09166990",2174,217
"48","cg05589743",1417,218.4
"49","cg12771715",2959,219.4
"50","cg14844466",3421,221.6
"51","cg01304102",331,226.4
"52","cg07670266",1861,228.8
"53","cg18488204",4141,229.4
"54","cg12454419",2886,236
"55","cg24034429",5173,242
"56","cg12187567",2822,247
"57","cg07268319",1764,249.2
"58","cg13468400",3100,250
"59","cg01423335",369,250.2
"60","cg07222844",1753,250.2
"61","cg17709466",3994,250.4
"62","cg22377182",4863,252.2
"63","cg11066033",2584,252.8
"64","cg04895321",1248,255.8
"65","cg07280206",1769,260.6
"66","cg13103179",3021,261.8
"67","cg03331490",862,268.8
"68","cg24204643",5220,270.2
"69","cg01844438",474,271.8
"70","cg03999420",1040,277.4
"71","cg03691338",951,277.6
"72","cg26036478",5571,280.6
"73","cg15072871",3464,281.2
"74","cg08343222",2004,283.8
"75","cg09321109",2214,284.2
"76","cg24325581",5244,284.4
"77","cg05148623",1303,284.8
"78","cg22157525",4815,286.6
"79","cg14696662",3398,289
"80","cg12605679",2931,289.4
"81","cg10544039",2485,290.4
"82","cg00591980",151,294.4
"83","cg27631621",5893,295.4
"84","cg05201784",1317,297.2
"85","cg07015465",1699,302.6
"86","cg10397063",2449,304
"87","cg04645049",1183,304.2
