cpd_name	master_cpd_id	broad_cpd_id	top_test_conc_umol	cpd_status	gene_symbol_of_protein_target	target_or_activity_of_compound	source_name	source_catalog_id	cpd_smiles
ML311	290356	BRD-A40802033	66	probe	MCL1	inhibitor of MCL1	Eutropics Pharmaceuticals	EU-5346	CCN1CCN(CC1)C(c1ccc(cc1)C(F)(F)F)c1ccc2cccnc2c1O
zebularine	411739	BRD-A01145011	590	probe	DNMT1	inhibitor of DNA methyltransferases	Tocris Bioscience	2293	OC[C@H]1O[C@H](C(O)[C@H]1O)n1cccnc1=O
BRD-A02303741	659371	BRD-A02303741	55	probe	DOT1L	inhibitor of histone methyltransferases	Broad Institute of MIT and Harvard		CC(C)N(CCCNC(=O)Nc1ccc(cc1)C(C)(C)C)C[C@H]1O[C@H](C(O)[C@H]1O)n1cnc2c(N)ncnc12
importazole	46792	BRD-A02481876	200	probe	KPNB1	inhibitor of importin	Vitas-M Laboratory Ltd.;EMD Biosciences	STK171852;401105	CC(Nc1nc(nc2ccccc12)N1CCCC1)c1ccccc1
SR8278	668858	BRD-A02904414	66	probe	NR1D1	antagonist of Rev-ErbAalpha	EMD Biosciences	EMB-5547	CCOC(=O)C1Cc2ccccc2CN1C(=O)c1ccc(SC)s1
elocalcitol	660319	BRD-A04287157	66	clinical	VDR	agonist of vitamin D receptor	Axon Medchem	1676	CCC(O)(CC)\C=C\CC(C)C1=CC[C@@H]2[C@]1(C)CCC\C2=C/C=C1/C[C@@H](O)C[C@H](F)C1=C
BRD-A05715709	660342	BRD-A05715709	66	probe	IDH1	putative inhibitor of IDH1 R132H	Broad Institute of MIT and Harvard		Cc1ccccc1C(N(C(=O)Cc1ccncc1)c1cccc(F)c1)C(=O)NC1CCCCC1
docetaxel	660364	BRD-A05821830	66	FDA		inhibitor of microtubule assembly	Selleck	S1148	CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)C2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C([C@@H](O)C1=O)C2(C)C
cyclophosphamide	32620	BRD-A09722536	130	FDA		DNA alkylator	Sigma-Aldrich	C0768	ClCCN(CCCl)P1(=O)NCCCO1
3-Cl-AHPC	660796	BRD-A09890259	66	probe	NR0B2	binder of nuclear receptor SHP	Sanford-Burnham Medical Research Institute		OC(=O)\C=C\c1ccc(c(Cl)c1)-c1ccc(O)c(c1)C12C[C@H]3C[C@H](C[C@H](C3)C1)C2
nutlin-3	411722	BRD-A12230535	150	clinical	MDM2	inhibitor of p53-MDM2 interaction	Selleck	S1061	COc1ccc(C2=NC(C(N2C(=O)N2CCNC(=O)C2)c2ccc(Cl)cc2)c2ccc(Cl)cc2)c(OC(C)C)c1
NVP-231	660331	BRD-A12571627	66	probe	CERK	inhibitor of ceramide kinase	Tocris Bioscience	3960	O=C(Nc1nc2ccc(NC(=O)C34C[C@H]5C[C@H](C[C@H](C5)C3)C4)cc2s1)c1ccccc1
triptolide	411720	BRD-A13122391	0.3	clinical		natural product; inhibitor of RNA polymerase II	Sigma-Aldrich	T3652	CC(C)[C@]12O[C@H]1[C@@H]1O[C@]11[C@]3(O[C@H]3CC3C4=C(CC[C@]13C)C(=O)OC4)[C@@H]2O
avicin D	688975	BRD-A15100685	66	probe		natural product	MD Anderson Cancer Center		CC1O[C@@H](OCC2O[C@@H](O[C@H]3CC[C@@]4(C)C(CC[C@]5(C)C4CC=C4C6CC(C)(C)[C@H](C[C@@]6([C@H](O)C[C@@]54C)C(=O)O[C@@H]4OC(CO)[C@@H](O)[C@@H](O)[C@@H]4O[C@@H]4OC(C)[C@H](O[C@@H]5O[C@@H](CO)[C@H](O)[C@@H]5O)[C@@H](O[C@@H]5OC(CO)[C@@H](O)[C@@H](O)[C@@H]5O)[C@@H]4O)OC(=O)C(\CO)=C\CC[C@](C)(O[C@@H]4OC(C)[C@@H](OC(=O)C(\CO)=C\CCC(C)(O)C=C)[C@@H](O)[C@@H]4O)C=C)C3(C)C)[C@@H](NC(C)=O)[C@H](O)[C@@H]2O)[C@@H](O[C@@H]2OC[C@@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H]1O
Bax channel blocker	18311	BRD-A18763547	33	probe	BAX	inhibitor of BAX-mediated mitochondrial cytochrome c release	Maybridge	RJC01737	OC(CN1CCNCC1)Cn1c2ccc(Br)cc2c2cc(Br)ccc12
CCT036477	417663	BRD-A22997170	33	probe		inhibitor of WNT signaling by blocking beta-catenin transcription	Sigma-Aldrich	SML0151	Cc1[nH]c2ccccc2c1C(Nc1ccccn1)c1ccc(Cl)cc1
erastin	63578	BRD-A25004090	66	probe	SLC7A11;VDAC1;VDAC2	modulator of voltage-dependent anion channels; inhibitor of solute carrier SLC7A11	Sigma-Aldrich	E7781	CCOc1ccccc1-n1c(=O)c2ccccc2nc1C(C)N1CCN(CC1)C(=O)COc1ccc(Cl)cc1
