ccl_name	master_ccl_id	ccle_primary_site	ccle_primary_hist	ccle_hist_subtype_1	growth_mode	culture_media	media_composition	snp_fp_status
CHP126	143	autonomic_ganglia	neuroblastoma		suspension	RPMI003	"RPMI, 20% FBS"	SNP-matched-reference
CHP212	144	autonomic_ganglia	neuroblastoma		adherent	EMEM001	"EMEM, 10% FBS"	SNP-not-tested
IMR32	475	autonomic_ganglia	neuroblastoma		adherent	EMEM001	"EMEM, 10% FBS"	SNP-matched-reference
KELLY	528	autonomic_ganglia	neuroblastoma		adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
KPNSI9S	571	autonomic_ganglia	neuroblastoma		adherent	RPMI001	"RPMI, 10% FBS"	SNP-not-tested
KPNYN	572	autonomic_ganglia	neuroblastoma		adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
MHHNB11	678	autonomic_ganglia	neuroblastoma		adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
NB1	720	autonomic_ganglia	neuroblastoma		adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
NH6	852	autonomic_ganglia	neuroblastoma		adherent	ALPHAMEM002	"AMEM, 20% FBS"	SNP-matched-reference
SIMA	1030	autonomic_ganglia	neuroblastoma		adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
SKNAS	1051	autonomic_ganglia	neuroblastoma		adherent	DMEM012	"DMEM, 10% FBS, 0.1 mM NEAA"	SNP-matched-reference
SKNBE2	1052	autonomic_ganglia	neuroblastoma		adherent	EMEMF12001	"EMEM:F21 (1:1), 10% FBS"	SNP-matched-reference
SKNDZ	1053	autonomic_ganglia	neuroblastoma		adherent	DMEM001	"DMEM, 10% FBS"	SNP-not-tested
SKNFI	1055	autonomic_ganglia	neuroblastoma		adherent	DMEM012	"DMEM, 10% FBS, 0.1 mM NEAA"	SNP-matched-reference
SKNSH	1058	autonomic_ganglia	neuroblastoma		adherent	EMEM001	"EMEM, 10% FBS"	SNP-matched-reference
HUCCT1	455	biliary_tract	carcinoma		adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
HUH28	458	biliary_tract	carcinoma		adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
SNU1079	1082	biliary_tract	carcinoma		adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
SNU1196	1085	biliary_tract	carcinoma		adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
SNU245	1095	biliary_tract	carcinoma		mixed	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
SNU308	1097	biliary_tract	carcinoma		adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
SNU478	1109	biliary_tract	carcinoma		adherent	RPMI001	"RPMI, 10% FBS"	SNP-matched-reference
