,TCGA-3C-AAAU-01,TCGA-3C-AALI-01,TCGA-3C-AALJ-01,TCGA-3C-AALK-01,TCGA-4H-AAAK-01
UBE2Q2,0,0,0,0,0
CHMP1B,0,0,0,0,0
PSMA2P1,0,0,0,0,0
SHQ1P1,0,0,0,0,0
CPHL1P,0,0,0,0,0
SSXP10,0,0,0,0,0
REM1,0,0,0,0,0
TCOF1,0,0,0,0,0
NSRP1,0,1,0,0,0
OPA6,0,0,0,0,0
OPA7,0,0,0,0,0
OPA4,0,0,0,0,0
OPA5,0,0,0,0,0
OPA2,0,0,0,0,0
OPA3,0,0,0,0,0
OPA1,0,0,0,0,0
RPEL1,0,0,0,0,0
OPA8,0,0,0,0,0
AL022328.1,0,0,0,0,0
RNU4ATAC18P,0,0,0,0,0
RNF219-AS1,0,0,0,0,0
ITGA8,0,0,0,0,0
ITGA9,0,0,0,0,0
ITGA1,0,0,0,0,0
ITGA2,0,0,0,0,0
ITGA3,0,0,0,0,0
ITGA4,0,0,0,0,0
ITGA5,0,0,0,0,0
ITGA6,0,0,0,0,0
ITGA7,0,0,0,0,0
TRHR,0,0,0,0,0
CA15P1,0,0,0,0,0
CA15P2,0,0,0,0,0
CA15P3,0,0,0,0,0
CCND2P,0,0,0,0,0
UFSP2,0,0,0,0,0
RP11-566K19.6,0,0,0,0,0
RNA5SP354,0,0,0,0,0
C9orf40,0,0,0,0,0
ZNF404,0,0,0,0,0
TEX28P2,0,0,0,0,0
TEX28P1,0,0,0,0,0
FAM212B,0,0,0,0,0
FAM212A,0,0,0,0,0
CHST9,0,0,0,0,0
CHST8,0,0,0,0,0
SMTNL1,0,0,0,0,0
CHST1,0,0,0,0,0
TTTY25P,0,0,0,0,0
CHST3,0,0,0,0,0
CHST2,0,0,0,0,0
CHST5,0,0,0,0,0
CHST4,0,0,0,0,0
CHST7,0,0,0,0,0
CHST6,0,0,0,0,0
ITGAX,0,0,0,0,0
RPS4XP3,0,0,0,0,0
RNA5SP356,0,0,0,0,0
RPS4XP6,0,0,0,0,0
RPS4XP7,0,0,0,0,0
RPS4XP4,0,0,0,0,0
BCL2A1,0,0,0,0,0
RPS4XP8,0,0,0,0,0
RPS4XP9,0,0,0,0,0
